1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
																		
																		
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
																		
																		
1	0	0	0	0	0	0	7	5	7	4	7	6	0	0	0	0	0	1
																		
																		
1	0	0	0	0	0	0	7	5	7	4	7	6	0	0	0	0	0	1
																		
																		
1	-1	0	0	0	0	0	7	5	7	4	7	6	0	0	0	0	-1	1
																		
																		
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
																		
																		
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
																		
																		
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
																		
																		
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
